Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1
67,Line,,2,,,39,29,None,None,,
68,Line,,2,,,39,62,None,None,,
69,Line,,2,,,61,34,None,None,,
70,Line,,2,,,61,35,None,None,,
71,Line,,2,,,61,36,None,None,,
72,Line,,2,,,61,37,None,None,,
73,Line,,2,,,61,38,None,None,,
74,Line,,2,,,61,39,None,None,,
75,Line,,2,,,64,31,None,None,,
76,Line,,2,,,64,30,None,None,,
77,Line,,2,,,64,63,None,None,,
78,Line,,2,,,64,32,None,None,,
79,Line,,2,,,39,64,None,None,,
80,Line,,2,,,39,41,None,None,,
81,Line,,2,,,39,42,None,None,,
82,Line,,2,,,39,43,None,None,,
83,Line,,2,,,41,40,None,None,,
84,Line,,2,,,42,40,None,None,,
85,Line,,2,,,40,44,None,None,,
86,Line,,2,,,40,45,None,None,,
87,Line,,2,,,46,40,None,None,,
88,Line,,2,,,47,40,None,None,,
89,Line,,2,,,48,40,None,None,,
90,Line,,2,,,49,40,None,None,,
91,Line,,2,,,50,40,None,None,,
92,Line,,2,,,52,40,None,None,,
93,Line,,2,,,53,40,None,None,,
94,Line,,2,,,55,40,None,None,,
95,Line,,2,,,54,40,None,None,,
96,Line,,2,,,57,40,None,None,,
97,Line,,2,,,56,40,None,None,,
98,Line,,2,,,58,40,None,None,,
99,Line,,2,,,59,40,None,None,,
100,Line,,2,,,60,40,None,None,,
101,Line,,2,,,51,40,None,None,,
102,Line,,2,,,33,61,None,None,,
