Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1
63,Router,Network Infrastructure,2,27|34,,,,,,,r_lab1
64,Router,Network Infrastructure,2,27|34,,,,,,,r_lab2
65,Server,Network Infrastructure,2,27|34,,,,,,,vpn_lab
66,Circle,Geometric Shapes,2,27|28,,,,,,,efc1
67,Circle,Geometric Shapes,2,27|28,,,,,,,efc2
68,Circle,Geometric Shapes,2,27|29,,,,,,,mill_mach
69,Circle,Geometric Shapes,2,27|29,,,,,,,pc_cell2
70,Circle,Geometric Shapes,2,27|30,,,,,,,printer2
71,Circle,Geometric Shapes,2,27|30,,,,,,,printer1
72,Circle,Geometric Shapes,2,27|37,,,,,,,conv1
73,Circle,Geometric Shapes,2,27|37,,,,,,,conv2
74,Circle,Geometric Shapes,2,27|35,,,,,,,rsch
75,Circle,Geometric Shapes,2,27|36,,,,,,,mgmt
76,Circle,Geometric Shapes,2,27|33,,,,,,,warehouse1
77,Circle,Geometric Shapes,2,27|33,,,,,,,warehouse2
78,Circle,Geometric Shapes,2,27|32,,,,,,,vision1
79,Circle,Geometric Shapes,2,27|32,,,,,,,vision2
80,Circle,Geometric Shapes,2,27|31,,,,,,,abb
81,Circle,Geometric Shapes,2,27|31,,,,,,,kuka
82,Circle,Geometric Shapes,2,27|31,,,,,,,plc
83,Router,Network Infrastructure,2,22|26,,,,,,,r_ufficio
84,Server,Network Infrastructure,2,15|21,,,,,,,s_ateneo
85,Server,Network Infrastructure,2,16|19,,,,,,,s_alpha
86,Router,Network Infrastructure,2,16|18,,,,,,,r_aule
87,Router,Network Infrastructure,2,3|4,,,,,,,r_bar
88,Router,Network Infrastructure,2,5|9,,,,,,,r_amm
89,Router,Network Infrastructure,2,10|12,,,,,,,r_biblio
90,Server,Network Infrastructure,2,10|13,,,,,,,s_bib2
91,Line,,2,,,88,40,None,None,,
92,Line,,2,,,88,39,None,None,,
93,Line,,2,,,88,41,None,None,,
94,Line,,2,,,88,42,None,None,,
95,Line,,2,,,88,43,None,None,,
96,Line,,2,,,88,44,None,None,,
97,Line,,2,,,89,47,None,None,,
98,Line,,2,,,89,46,None,None,,
99,Line,,2,,,89,90,None,None,,
100,Line,,2,,,89,48,None,None,,
101,Line,,2,,,89,61,None,None,,
102,Line,,2,,,87,45,None,None,,
103,Line,,2,,,61,49,None,None,,
104,Line,,2,,,61,50,None,None,,
105,Line,,2,,,61,51,None,None,,
106,Line,,2,,,61,84,None,None,,
107,Line,,2,,,83,56,None,None,,
108,Line,,2,,,83,55,None,None,,
109,Line,,2,,,83,57,None,None,,
110,Line,,2,,,83,58,None,None,,
111,Line,,2,,,83,59,None,None,,
112,Line,,2,,,83,60,None,None,,
113,Line,,2,,,83,61,None,None,,
114,Line,,2,,,86,53,None,None,,
115,Line,,2,,,86,52,None,None,,
116,Line,,2,,,86,85,None,None,,
117,Line,,2,,,86,54,None,None,,
118,Line,,2,,,61,86,None,None,,
119,Line,,2,,,61,63,None,None,,
120,Line,,2,,,61,64,None,None,,
121,Line,,2,,,61,65,None,None,,
122,Line,,2,,,63,62,None,None,,
123,Line,,2,,,64,62,None,None,,
124,Line,,2,,,62,66,None,None,,
125,Line,,2,,,62,67,None,None,,
126,Line,,2,,,68,62,None,None,,
127,Line,,2,,,69,62,None,None,,
128,Line,,2,,,70,62,None,None,,
129,Line,,2,,,71,62,None,None,,
130,Line,,2,,,72,62,None,None,,
131,Line,,2,,,74,62,None,None,,
132,Line,,2,,,75,62,None,None,,
133,Line,,2,,,77,62,None,None,,
134,Line,,2,,,76,62,None,None,,
135,Line,,2,,,79,62,None,None,,
136,Line,,2,,,78,62,None,None,,
137,Line,,2,,,80,62,None,None,,
138,Line,,2,,,81,62,None,None,,
139,Line,,2,,,82,62,None,None,,
140,Line,,2,,,73,62,None,None,,
141,Line,,2,,,87,83,None,None,,
142,Line,,2,,,88,83,None,None,,
